Quarter;Model_Classification_ID;Entry_Date_ISO;ES_Entry_Price;Direction;Exit_Date_ISO;ES_Exit_Price;
;;;;;;;
q3-20;q3-20_1;2020-08-10;3347,00;-1;2020-08-11;3350,25;
q3-20;q3-20_2;2020-08-11;3350,25;1;2020-08-19;3388,75;
q3-20;q3-20_3;2020-08-19;3388,75;-1;2020-08-20;3370,25;
q3-20;q3-20_4;2020-08-20;3370,25;1;2020-08-28;3488,00;
q4-20;q4-20_1;2020-09-25;3243,50;1;2020-09-28;3291,00;
q4-20;q4-20_2;2020-09-28;3291,00;-1;2020-10-01;3344,75;
q4-20;q4-20_3;2020-10-01;3344,75;1;2020-10-19;3471,00;
q4-20;q4-20_4;2020-10-19;3471,00;-1;2020-10-20;3436,00;
q4-20;q4-20_5;2020-10-20;3436,00;1;2020-10-22;3430,25;
q4-20;q4-20_6;2020-10-22;3430,25;-1;2020-10-26;3445,75;
q4-20;q4-20_7;2020-10-26;3445,75;1;2020-10-27;3394,25;
q4-20;q4-20_8;2020-10-27;3394,25;-1;2020-10-30;3268,00;
q4-20;q4-20_9;2020-10-30;3268,00;1;2020-11-30;3643,75;
q4-21;q4-21_1;2021-09-28;4429,75;1;2021-10-05;4295,75;
q4-21;q4-21_2;2021-10-05;4295,75;-1;2021-10-06;4334,00;
q4-21;q4-21_3;2021-10-06;4334,00;1;2021-11-25;4700,50;
q1-22;q1-22_1;2022-01-05;4783,50;1;2022-01-13;4719,25;
q1-22;q1-22_2;2022-01-13;4719,25;-1;2022-01-17;4666,00;
q1-22;q1-22_3;2022-01-17;4666,00;1;2022-01-18;4656,00;
q1-22;q1-22_4;2022-01-18;4656,00;-1;2022-01-19;4577,75;
q1-22;q1-22_5;2022-01-19;4577,75;1;2022-01-21;4454,25;
q1-22;q1-22_6;2022-01-21;4454,25;-1;2022-01-24;4389,00;
q1-22;q1-22_7;2022-01-24;4389,00;1;2022-01-25;4402,75;
q1-22;q1-22_8;2022-01-25;4402,75;-1;2022-01-26;4308,75;
q1-22;q1-22_9;2022-01-26;4308,75;1;2022-01-28;4348,00;
