Date,Signal,Entry_Price
2025-06-23,1,5964.0
2025-06-24,1,6078.0
2025-06-25,1,6144.75
2025-06-26,1,6144.75
2025-06-27,1,6197.5
2025-06-30,1,6223.25
2025-07-01,1,6245.75
2025-07-02,1,6245.75
2025-07-03,1,6276.5
2025-07-04,1,6320.75
2025-07-07,-1,6307.75
2025-07-08,-1,6262.5
2025-07-09,-1,6272.0
2025-07-10,-1,6306.0
2025-07-11,-1,6323.0
2025-07-14,1,6274.0
2025-07-15,1,6309.5
2025-07-16,1,6273.75
2025-07-17,1,6299.25
2025-07-18,1,6342.5
2025-07-21,1,6335.75
2025-07-22,1,6347.0
2025-07-23,1,6346.5
2025-07-24,1,6404.0
2025-07-25,1,6406.75
2025-07-28,1,6450.0
2025-07-29,1,6424.5
2025-07-30,1,6404.0
2025-07-31,1,6435.5
2025-08-01,1,6359.5
2025-08-04,1,6257.0
2025-08-05,1,6370.0
2025-08-06,1,6323.0
2025-08-07,1,6371.0
2025-08-08,1,6372.5
2025-08-11,1,6422.75
2025-08-12,1,6396.0
2025-08-13,1,6468.0
2025-08-14,1,6485.0
2025-08-15,1,6489.25
2025-08-18,1,6467.0
2025-08-19,1,6468.5
2025-08-20,1,6433.0
2025-08-21,1,6414.25
2025-08-22,1,6392.0
2025-08-25,1,6493.0
2025-08-26,1,6460.25
2025-08-27,1,6486.75
2025-08-28,1,6485.0
2025-08-29,1,6516.0
2025-09-01,1,6478.75
2025-09-02,1,6478.75
2025-09-03,1,6448.0
2025-09-04,1,6460.0
2025-09-05,-1,6515.0
2025-09-08,1,6483.75
2025-09-09,1,6507.75
2025-09-10,1,6532.25
2025-09-11,1,6535.75
2025-09-12,1,6596.25
2025-09-15,1,6588.25
2025-09-16,1,6673.25
2025-09-17,0,6669.5
2025-09-18,0,
2025-09-19,0,
2025-09-22,0,
2025-09-23,0,
2025-09-24,0,
2025-09-25,0,
2025-09-26,0,
2025-09-29,-1,6697.0
2025-09-29,-1,6708.0
2025-09-30,-1,6725.5
2025-10-01,1,6757.0
2025-10-02,1,6764.75
2025-10-03,1,6768.0
2025-10-06,1,6789.5
2025-10-07,1,6766.0
2025-10-08,1,6802.75
2025-10-09,-1,6779.5
2025-10-10,1,6632.0
2025-10-13,1,6691.0
2025-10-14,1,6684.25
2025-10-15,1,6715.25
2025-10-16,1,6659.25
2025-10-17,1,6721.0
2025-10-20,1,6779.5
2025-10-21,1,6776.0
2025-10-22,1,6733.5
2025-10-23,1,6778.25
2025-10-24,1,6881.0
2025-10-27,1,6914.0
2025-10-28,1,6929.25
2025-10-29,1,6906.5
2025-10-30,1,6897.0
2025-10-31,1,6878.0
2025-11-03,1,6884.0
2025-11-04,1,6801.0
2025-11-05,1,6828.5
2025-11-06,1,6763.0
2025-11-07,1,6788.0
2025-11-10,1,6857.25
2025-11-11,1,6874.0
2025-11-12,1,6873.25
2025-11-13,1,6762.75
2025-11-14,1,6764.75
2025-11-17,1,6696.5
2025-11-18,1,6630.75
2025-11-19,1,6697.5
2025-11-20,-1,6560.0
2025-11-21,1,6654.75
2025-11-24,1,6726.25
2025-11-25,1,6781.0
2025-11-26,1,6830.25
2025-11-27,1,6829.0
2025-11-28,1,6854.75
2025-12-01,-1,6829.0
2025-12-02,-1,6843.0
2025-12-03,1,6866.0
2025-12-04,1,6865.5
2025-12-05,1,6883.0
2025-12-08,1,6865.0
2025-12-09,1,6847.25
2025-12-10,-1,6887.0
2025-12-11,-1,6914.0
2025-12-12,-1,6831.0
2025-12-15,-1,6825.25
2025-12-16,-1,6796.0
2025-12-17,0,6739.25
2025-12-18,0,
2025-12-19,0,
2025-12-22,0,
2025-12-23,0,
2025-12-24,0,
2025-12-25,0,
2025-12-26,0,
2025-12-29,1,6980.5
2025-12-30,1,6956.5
2025-12-31,1,6945.5
2026-01-01,1,6945.5
2026-01-02,1,6902.0
2026-01-05,1,6911.5
2026-01-06,1,6945.5
2026-01-07,1,6988.5
2026-01-08,1,6967.5
2026-01-09,1,6973.25
2026-01-12,-1,7007.0
2026-01-13,-1,7014.0
2026-01-14,-1,6998.5
2026-01-15,-1,6955.75
2026-01-16,-1,6986.75
2026-01-19,1,6918.25
2026-01-20,1,6913.5
2026-01-21,1,6839.0
2026-01-22,1,6920.0
2026-01-23,1,6938.0
2026-01-26,1,6904.0
2026-01-27,1,6977.0
2026-01-28,1,7010.25
2026-01-29,1,7021.5
2026-01-30,1,6992.75
2026-02-02,1,6938.5
2026-02-03,1,7004.25
2026-02-04,1,6934.0
2026-02-05,1,6915.5
2026-02-06,-1,6785.5
2026-02-09,-1,6960.25
2026-02-10,1,6985.0
2026-02-11,1,6971.5
2026-02-12,1,6964.5
2026-02-13,-1,6865.5
2026-02-16,-1,6852.5
2026-02-17,-1,6856.0
2026-02-18,-1,6862.75
2026-02-19,-1,6891.75
2026-02-20,-1,6874.25
2026-02-23,-1,6918.0
2026-02-24,-1,6858.25
2026-02-25,-1,6900.25
2026-02-26,-1,6965.0
2026-02-27,-1,6899.0
2026-03-02,1,6820.0
2026-03-03,1,6883.5
2026-03-04,1,6813.25
2026-03-05,1,6883.25
2026-03-06,1,6826.0
2026-03-09,1,6685.5
2026-03-10,1,6800.75
2026-03-11,1,6796.75
2026-03-12,1,6766.0
2026-03-13,1,6684.25
2026-03-16,1,6608.5
2026-03-17,1,6700.0
2026-03-18,1,6722.5
2026-03-19,1,6622.0
2026-03-20,0,6622.75
2026-03-29,0,6380.0
2026-03-30,1,6385.25
2026-03-31,1,6562.0
2026-04-01,1,6618.5
2026-04-02,-1,6622.5
2026-04-05,1,6590.0
2026-04-06,1,6650.5
2026-04-07,1,6689.0
2026-04-08,1,6814.25
2026-04-09,1,6858.0
2026-04-12,1,6780.0
2026-04-13,1,6925.25
2026-04-14,1,7004.0
2026-04-15,-1,7057.25
2026-04-16,-1,7077.25
2026-04-19,-1,7102.5
2026-04-20,1,7150.75
2026-04-21,-1,7125.0
2026-04-22,1,7163.0
2026-04-23,1,7143.0
2026-04-26,1,7185.0
2026-04-27,1,7204.75
2026-04-28,1,7172.5
2026-04-29,1,7150.0
2026-04-30,1,7256.0
2026-05-03,1,7276.25
2026-05-04,1,7228.75
2026-05-05,-1,7300.5
2026-05-06,1,7380.5
2026-05-07,-1,7340.0
2026-05-10,-1,7403.5
2026-05-11,-1,7435.5
2026-05-12,-1,7419.25
2026-05-13,-1,7477.5
2026-05-14,1,7522.25
2026-05-17,1,7410.0
2026-05-18,1,7423.5
2026-05-19,-1,7377.0
2026-05-20,1,7432.75
2026-05-21,1,7467.0
2026-05-24,1,7519.0
2026-05-25,1,7561.25
2026-05-26,1,7533.0
2026-05-27,1,7553.75
2026-05-28,1,7587.5
2026-05-31,1,7595.0
2026-06-01,1,7612.0
2026-06-02,1,
2026-06-03,0,
2026-06-04,0,
2026-06-07,0,
2026-06-08,0,
2026-06-09,0,
2026-06-10,0,
2026-06-11,0,
2026-06-14,0,
2026-06-15,0,
