# IMPORTANT: A Disclaimer and Legal Notices section applicable to all data in this file appears at the end.,,,,,,,,,,,,,,
# Use of this file constitutes acceptance of those terms.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
utc_date,utc_timestamp_iso_8601,report_id,ES_classification,ES_refOpen,NQ_classification,NQ_refOpen,ZN_classification,ZN_refOpen_dec,FGBL_classification,FGBL_refOpen,6E_classification,6E_refOpen,6J_classification,6J_refOpen
29/03/2026,2026-03-29T21:31:18Z,6050f1ae-7fe5-48a8-a9fe-7016c0652930,,6380,BULLISH,23189.5,BEARISH,110.171875,BULLISH,124.52,,1.154,,0.0062775
30/03/2026,2026-03-30T21:31:07Z,3bc35fca-f6b6-4513-ab84-545e97d3f8d7,BULLISH,6385.25,NOCHANGE,23119.5,NOCHANGE,110.765625,BEARISH,124.96,,1.1505,,0.0063
31/03/2026,2026-03-31T21:33:13Z,2474e793-d2a1-4b9f-8d43-c813d15a664e,NOCHANGE,6562,NOCHANGE,23889,NOCHANGE,111.015625,NOCHANGE,125.79,,1.1591,BEARISH,0.0063405
01/04/2026,2026-04-01T21:37:57Z,d17d6713-a84b-4558-bae8-4219a5960e46,NOCHANGE,6618.5,NOCHANGE,24180,BULLISH,110.90625,BULLISH,125.71,,1.1628,NOCHANGE,0.006336
02/04/2026,2026-04-02T21:33:51Z,185ef11a-3de9-4bf2-b862-8043ea791d6d,BEARISH,6622.5,NOCHANGE,24219.5,NOCHANGE,111.015625,NOCHANGE,125.61,,1.1577,NOCHANGE,0.0063035
05/04/2026,2026-04-05T21:40:27Z,820c1093-6521-4bf6-864a-30f8d1fba81f,BULLISH,6590,NOCHANGE,24093.5,BEARISH,110.71875,NOCHANGE,125.61,BULLISH,1.156,NOCHANGE,0.0063035
06/04/2026,2026-04-06T21:36:19Z,6596f3aa-fe0f-4829-90d2-14ebe6c3b227,NOCHANGE,6650.5,NOCHANGE,24348.75,NOCHANGE,110.8125,NOCHANGE,125.49,NOCHANGE,1.15785,NOCHANGE,0.0063
07/04/2026,2026-04-07T21:35:45Z,fd831009-8d80-4ee0-bfb7-54e771600894,NOCHANGE,6689,NOCHANGE,24514,NOCHANGE,111.203125,NOCHANGE,125.8,NOCHANGE,1.16345,NOCHANGE,0.006306
08/04/2026,2026-04-08T21:33:06Z,e13b62e8-4e36-4c72-a767-fa02b9c52ab7,NOCHANGE,6814.25,BEARISH,25037.75,BULLISH,111.1875,BEARISH,126.07,NOCHANGE,1.1703,NOCHANGE,0.0063415
09/04/2026,2026-04-09T21:43:40Z,962a0f65-1fbe-47c1-ac6a-21a928fe9a3f,NOCHANGE,6858,NOCHANGE,25237,BEARISH,111.34375,NOCHANGE,125.57,NOCHANGE,1.1736,NOCHANGE,0.006325
12/04/2026,2026-04-12T21:35:27Z,0ec0b792-256c-447c-9665-a03945bbe35c,NOCHANGE,6780,BULLISH,24980,NOCHANGE,110.734375,BULLISH,124.8,NOCHANGE,1.171,BULLISH,0.006295
