index,Signal,Entry_Price
2026-03-30,0,6380.0
2026-03-31,1,6385.25
2026-04-01,1,6562.0
2026-04-02,1,6618.5
2026-04-03,-1,6622.5
2026-04-06,1,6590.0
2026-04-07,1,6650.5
2026-04-08,1,6689.0
2026-04-09,1,6814.25
2026-04-10,1,6858.0
2026-04-13,1,6780.0
2026-04-14,1,6925.25
2026-04-15,1,7004.0
2026-04-16,-1,7057.25
2026-04-17,-1,7077.25
2026-04-20,-1,7102.5
2026-04-21,1,7150.75
2026-04-22,-1,7125.0
2026-04-23,1,7163.0
2026-04-24,1,7143.0
2026-04-27,1,7185.0
2026-04-28,1,7204.75
2026-04-29,1,7172.5
2026-04-30,1,7150.0
2026-05-01,1,7256.0
2026-05-04,1,7276.25
2026-05-05,1,7228.75
2026-05-06,-1,7300.5
2026-05-07,1,7380.5
2026-05-08,-1,7340.0
2026-05-11,-1,7403.5
2026-05-12,-1,7435.5
2026-05-13,-1,7419.25
2026-05-14,-1,7477.5
2026-05-15,1,7522.25
2026-05-18,1,7410.0
2026-05-19,1,7423.5
2026-05-20,-1,7377.0
2026-05-21,1,7432.75
2026-05-22,1,7467.0
2026-05-25,1,7519.0
2026-05-26,1,7561.25
2026-05-27,1,7533.0
2026-05-28,1,7553.75
2026-05-29,1,7587.5
2026-06-01,1,7595.0
2026-06-02,1,7612.0
2026-06-03,1,
2026-06-04,0,
2026-06-05,0,
2026-06-08,0,
2026-06-09,0,
2026-06-10,0,
2026-06-11,0,
2026-06-12,0,
2026-06-15,0,
2026-06-16,0,
