Date (UTC);Quarter;ES;ES_DIR;ES_Open;NQ;NQ_DIR;NQ_Open;ZN;ZN_DIR;ZN_Open_dec;FGBM;FGBM_DIR;FGBM_Open;6E;6E_DIR;6E_OPEN
2025-06-22;q3-25;ESU25;1;5964;;;;;;;FGBMU25;1;117,79;6EU25;-1;1,15425
2025-06-23;q3-25;ESU25;1;6078;;;;;;;FGBMU25;1;117,83;6EU25;-1;1,164
2025-06-24;q3-25;ESU25;1;6144,75;;;;;;;FGBMU25;1;117,6;6EU25;1;1,15586
2025-06-25;q3-25;ESU25;1;6144,75;;;;;;;FGBMU25;1;117,75;6EU25;1;1,1719
2025-06-26;q3-25;ESU25;1;6197,5;;;;;;;FGBMU25;1;117,81;6EU25;1;1,1761
2025-06-29;q3-25;ESU25;1;6223,25;;;;;;;FGBMU25;1;117,67;6EU25;-1;1,179
2025-06-30;q3-25;ESU25;1;6245,75;;;;;;;FGBMU25;1;117,72;6EU25;-1;1,1844
2025-07-01;q3-25;ESU25;1;6245,75;;;;;;;FGBMU25;1;117,75;6EU25;-1;1,1844
2025-07-02;q3-25;ESU25;1;6276,5;;;;;;;FGBMU25;1;117,59;6EU25;-1;1,1856
2025-07-03;q3-25;ESU25;1;6320,75;;;;;;;FGBMU25;1;117,73;6EU25;-1;1,1815
2025-07-06;q3-25;ESU25;-1;6307,75;;;;;;;FGBMU25;1;117,9;6EU25;-1;1,1834
2025-07-07;q3-25;ESU25;-1;6262,5;;;;;;;FGBMU25;1;117,7;6EU25;-1;1,1764
2025-07-08;q3-25;ESU25;-1;6272;;;;;;;FGBMU25;1;117,43;6EU25;1;1,179
2025-07-09;q3-25;ESU25;-1;6306;;;;;;;FGBMU25;1;117,62;6EU25;1;1,1778
2025-07-10;q3-25;ESU25;-1;6323;;;;;;;FGBMU25;1;117,41;6EU25;1;1,17515
2025-07-13;q3-25;ESU25;1;6274;;;;;;;FGBMU25;1;117,29;6EU25;-1;1,1717
2025-07-14;q3-25;ESU25;1;6309,5;;;;;;;FGBMU25;1;117,43;6EU25;-1;1,1714
2025-07-15;q3-25;ESU25;1;6273,75;;;;;;;FGBMU25;1;117,46;6EU25;-1;1,165
2025-07-16;q3-25;ESU25;1;6299,25;;;;;;;FGBMU25;1;117,66;6EU25;-1;1,16855
2025-07-17;q3-25;ESU25;1;6342,5;;;;;;;FGBMU25;1;117,56;6EU25;-1;1,1641
2025-07-20;q3-25;ESU25;1;6335,75;;;;;;;FGBMU25;1;117,63;6EU25;-1;1,16745
2025-07-21;q3-25;ESU25;1;6347;;;;;;;FGBMU25;1;117,86;6EU25;-1;1,174
2025-07-22;q3-25;ESU25;1;6346,5;;;;;;;FGBMU25;1;117,96;6EU25;-1;1,17955
2025-07-23;q3-25;ESU25;1;6404;;;;;;;FGBMU25;1;117,65;6EU25;-1;1,1812
2025-07-24;q3-25;ESU25;1;6406,75;;;;;;;FGBMU25;1;117,35;6EU25;-1;1,178
2025-07-27;q3-25;ESU25;1;6450;;;;;;;FGBMU25;-1;117,12;6EU25;-1;1,17975
2025-07-28;q3-25;ESU25;1;6424,5;;;;;;;FGBMU25;1;117,36;6EU25;-1;1,1625
2025-07-29;q3-25;ESU25;1;6404;;;;;;;FGBMU25;1;117,32;6EU25;-1;1,1581
2025-07-30;q3-25;ESU25;1;6435,5;;;;;;;FGBMU25;1;117,2;6EU25;-1;1,14375
2025-07-31;q3-25;ESU25;1;6359,5;;;;;;;FGBMU25;1;117,17;6EU25;-1;1,145
2025-08-03;q3-25;ESU25;1;6257;;;;;;;FGBMU25;1;117,59;6EU25;-1;1,16205
2025-08-04;q3-25;ESU25;1;6370;;;;;;;FGBMU25;1;117,7;6EU25;-1;1,1604
2025-08-05;q3-25;ESU25;1;6323;;;;;;;FGBMU25;1;117,61;6EU25;-1;1,16065
2025-08-06;q3-25;ESU25;1;6371;;;;;;;FGBMU25;1;117,54;6EU25;-1;1,16895
2025-08-07;q3-25;ESU25;1;6372,5;;;;;;;FGBMU25;1;117,53;6EU25;-1;1,16925
2025-08-10;q3-25;ESU25;1;6422,75;;;;;;;FGBMU25;1;117,28;6EU25;-1;1,16715
2025-08-11;q3-25;ESU25;1;6396;;;;;;;FGBMU25;1;117,2;6EU25;-1;1,16455
2025-08-12;q3-25;ESU25;1;6468;;;;;;;FGBMU25;1;117,12;6EU25;-1;1,1701
2025-08-13;q3-25;ESU25;1;6485;;;;;;;FGBMU25;1;117,43;6EU25;-1;1,173
2025-08-14;q3-25;ESU25;1;6489,25;;;;;;;FGBMU25;1;117,33;6EU25;-1;1,16725
2025-08-17;q3-25;ESU25;1;6467;;;;;;;FGBMU25;1;116,98;6EU25;1;1,17345
2025-08-18;q3-25;ESU25;1;6468,5;;;;;;;FGBMU25;1;117,16;6EU25;1;1,16815
2025-08-19;q3-25;ESU25;1;6433;;;;;;;FGBMU25;1;117,18;6EU25;1;1,16675
2025-08-20;q3-25;ESU25;1;6414,25;;;;;;;FGBMU25;1;117,33;6EU25;1;1,16725
2025-08-21;q3-25;ESU25;1;6392;;;;;;;FGBMU25;1;117,17;6EU25;1;1,1624
2025-08-24;q3-25;ESU25;1;6493;;;;;;;FGBMU25;1;117,24;6EU25;1;1,1738
2025-08-25;q3-25;ESU25;1;6460,25;;;;;;;FGBMU25;1;117,3;6EU25;1;1,1637
2025-08-26;q3-25;ESU25;1;6486,75;;;;;;;FGBMU25;1;117,41;6EU25;1;1,16575
2025-08-27;q3-25;ESU25;1;6485;;;;;;;FGBMU25;1;117,56;6EU25;1;1,16485
2025-08-28;q3-25;ESU25;1;6516;;;;;;;FGBMU25;1;117,45;6EU25;1;1,16925
2025-08-31;q3-25;ESU25;1;6478,75;;;;;;;FGBMU25;1;117,44;6EU25;1;1,16985
2025-09-01;q3-25;ESU25;1;6478,75;;;;;;;FGBMU25;1;117,29;6EU25;1;1,16985
2025-09-02;q3-25;ESU25;1;6448;;;;;;;FGBMU25;1;117,15;6EU25;1;1,16525
2025-09-03;q3-25;ESU25;1;6460;;;;;;;FGBMU25;0;117,3;6EU25;1;1,167
2025-09-04;q3-25;ESU25;-1;6515;;;;;;;;;;6EU25;1;1,1656
2025-09-07;q3-25;ESU25;1;6483,75;;;;;;;;;;6EU25;1;1,1727
2025-09-08;q3-25;ESU25;1;6507,75;;;;;;;;;;6EU25;1;1,1771
2025-09-09;q3-25;ESU25;1;6532,25;;;;;;;;;;6EU25;1;1,1717
2025-09-10;q3-25;ESU25;1;6535,75;;;;;;;;;;6EU25;0;1,1702
2025-09-11;q3-25;ESU25;1;6596,25;;;;;;;;;;;;
2025-09-14;q3-25;ESU25;1;6588,25;;;;;;;;;;;;
2025-09-15;q3-25;ESU25;1;6673,25;;;;;;;;;;;;
2025-09-16;q3-25;ESU25;0;6669,5;;;;;;;;;;;;
2025-09-17;;;;;;;;;;;;;;;;
2025-09-18;;;;;;;;;;;;;;;;
2025-09-21;;;;;;;;;;;;;;;;
2025-09-22;;;;;;;;;;;;;;;;
2025-09-23;;;;;;;;;;;;;;;;
2025-09-24;;;;;;;;;;;;;;;;
2025-09-25;;;;;;;;;;;;;;;;
2025-09-28;q4-25;ESZ25;-1;6697;;;;ZNZ25;1;112,28125;;;;6UZ25;1;1,1755
2025-09-28;q4-25;ESZ25;-1;6708;;;;ZNZ25;1;112,546875;;;;6UZ25;1;1,1779
2025-09-29;q4-25;ESZ25;-1;6725,5;;;;ZNZ25;1;112,453125;;;;6UZ25;1;1,17865
2025-09-30;q4-25;ESZ25;1;6757;;;;ZNZ25;1;112,890625;;;;6UZ25;1;1,178
2025-10-01;q4-25;ESZ25;1;6764,75;;;;ZNZ25;1;112,953125;;;;6UZ25;1;1,1763
2025-10-02;q4-25;ESZ25;1;6768;;;;ZNZ25;1;112,578125;;;;6UZ25;1;1,17775
2025-10-05;q4-25;ESZ25;1;6789,5;;;;ZNZ25;1;112,453125;;;;6UZ25;1;1,176
2025-10-06;q4-25;ESZ25;1;6766;;;;ZNZ25;1;112,671875;;;;6UZ25;1;1,1701
2025-10-07;q4-25;ESZ25;1;6802,75;;;;ZNZ25;-1;112,65625;;;;6UZ25;1;1,1673
2025-10-08;q4-25;ESZ25;-1;6779,5;;;;ZNZ25;-1;112,515625;;;;6UZ25;-1;1,1605
2025-10-09;q4-25;ESZ25;1;6632;;;;ZNZ25;1;113,109375;;;;6UZ25;1;1,1651
2025-10-12;q4-25;ESZ25;1;6691;;;;ZNZ25;1;113,203125;;;;6UZ25;-1;1,161
2025-10-13;q4-25;ESZ25;1;6684,25;;;;ZNZ25;1;113,34375;;;;6UZ25;-1;1,16495
2025-10-14;q4-25;ESZ25;1;6715,25;;;;ZNZ25;1;113,3125;;;;6UZ25;1;1,1685
2025-10-15;q4-25;ESZ25;1;6659,25;;;;ZNZ25;1;113,765625;;;;6UZ25;1;1,17265
2025-10-16;q4-25;ESZ25;1;6721;;;;ZNZ25;-1;113,421875;;;;6UZ25;-1;1,16925
2025-10-19;q4-25;ESZ25;1;6779,5;;;;ZNZ25;-1;113,609375;;;;6UZ25;-1;1,1679
2025-10-20;q4-25;ESZ25;1;6776;;;;ZNZ25;-1;113,75;;;;6UZ25;-1;1,16395
2025-10-21;q4-25;ESZ25;1;6733,5;;;;ZNZ25;-1;113,78125;;;;6UZ25;-1;1,1645
