index,Quarter,ES_signal,ES_Open_Price,NQ_signal,NQ_Open_Price,ZN_signal,ZN_Open_Price,FGBM_signal,FGBM_Open_Price,6E_signal,6E_Open_Price
2025-06-23,2025Q3,1,5964.0,0,,0,,1,117.79,-1,1.15425
2025-06-24,2025Q3,1,6078.0,0,,0,,1,117.83,-1,1.164
2025-06-25,2025Q3,1,6144.75,0,,0,,1,117.6,1,1.15586
2025-06-26,2025Q3,1,6144.75,0,,0,,1,117.75,1,1.1719
2025-06-27,2025Q3,1,6197.5,0,,0,,1,117.81,1,1.1761
2025-06-30,2025Q3,1,6223.25,0,,0,,1,117.67,-1,1.179
2025-07-01,2025Q3,1,6245.75,0,,0,,1,117.72,-1,1.1844
2025-07-02,2025Q3,1,6245.75,0,,0,,1,117.75,-1,1.1844
2025-07-03,2025Q3,1,6276.5,0,,0,,1,117.59,-1,1.1856
2025-07-04,2025Q3,1,6320.75,0,,0,,1,117.73,-1,1.1815
2025-07-07,2025Q3,-1,6307.75,0,,0,,1,117.9,-1,1.1834
2025-07-08,2025Q3,-1,6262.5,0,,0,,1,117.7,-1,1.1764
2025-07-09,2025Q3,-1,6272.0,0,,0,,1,117.43,1,1.179
2025-07-10,2025Q3,-1,6306.0,0,,0,,1,117.62,1,1.1778
2025-07-11,2025Q3,-1,6323.0,0,,0,,1,117.41,1,1.17515
2025-07-14,2025Q3,1,6274.0,0,,0,,1,117.29,-1,1.1717
2025-07-15,2025Q3,1,6309.5,0,,0,,1,117.43,-1,1.1714
2025-07-16,2025Q3,1,6273.75,0,,0,,1,117.46,-1,1.165
2025-07-17,2025Q3,1,6299.25,0,,0,,1,117.66,-1,1.16855
2025-07-18,2025Q3,1,6342.5,0,,0,,1,117.56,-1,1.1641
2025-07-21,2025Q3,1,6335.75,0,,0,,1,117.63,-1,1.16745
2025-07-22,2025Q3,1,6347.0,0,,0,,1,117.86,-1,1.174
2025-07-23,2025Q3,1,6346.5,0,,0,,1,117.96,-1,1.17955
