index,Quarter,ES_signal,ES_Open_Price,NQ_signal,NQ_Open_Price,ZN_signal,ZN_Open_Price,FGBL_signal,FGBL_Open_Price,6E_signal,6E_Open_Price,6J_signal,6J_Open_Price
2026-06-03,2026Q2,1,7628.0,-1,30741.75,-1,109.765625,1,126.0,-1,1.16365,1,0.006262
2026-06-04,2026Q2,1,7539.75,1,30453.0,-1,109.390625,0,125.5,-1,1.1604,-1,0.006254
2026-06-05,2026Q2,1,7589.5,1,30414.0,-1,109.59375,0,125.5,-1,1.1617,-1,0.0062555
2026-06-08,2026Q2,1,7368.0,1,28844.5,-1,109.046875,0,125.5,-1,1.15195,-1,0.006243
2026-06-09,2026Q2,1,7412.75,1,29435.0,-1,108.953125,0,125.5,-1,1.15385,-1,0.0062465
2026-06-10,2026Q2,-1,7380.0,1,29094.75,1,109.234375,0,125.5,-1,1.15435,-1,0.0062375
2026-06-11,2026Q2,1,7259.25,1,28455.0,1,109.015625,0,125.5,0,1.15375,0,0.0062305
2026-06-12,2026Q2,-1,7397.5,1,29456.75,1,109.671875,0,125.5,0,1.15375,0,0.0062305
2026-06-15,2026Q2,-1,7480.0,1,29907.0,1,109.78125,0,125.5,0,1.15375,0,0.0062305
2026-06-16,2026Q2,0,7480.0,0,29907.0,0,109.78125,0,125.5,0,1.15375,0,0.0062305
