obsTime,temp_c,dewpoint_c,wind_dir,wind_speed,wind_gust,pressure,source
2026-06-27T17:20:00Z,29,18,160,7,,1014,aviationweather
2026-06-27T17:50:00Z,28,17,170,9,,1014,aviationweather
2026-06-27T18:20:00Z,27,17,170,8,,1014,aviationweather
2026-06-27T18:50:00Z,27,16,180,11,,1014,aviationweather
2026-06-27T19:20:00Z,26,16,190,10,,1015,aviationweather
2026-06-27T19:50:00Z,26,16,190,8,,1015,aviationweather
2026-06-27T20:20:00Z,25,17,190,5,,1014,aviationweather
2026-06-27T20:50:00Z,25,16,190,5,,1014,aviationweather
2026-06-27T21:20:00Z,24,16,200,6,,1015,aviationweather
2026-06-27T21:50:00Z,24,15,190,5,,1014,aviationweather
2026-06-27T22:20:00Z,23,15,210,6,,1014,aviationweather
2026-06-27T22:50:00Z,23,15,220,6,,1014,aviationweather
2026-06-27T23:20:00Z,23,15,230,5,,1014,aviationweather
2026-06-27T23:50:00Z,23,15,220,7,,1014,aviationweather
2026-06-28T00:20:00Z,23,15,230,6,,1014,aviationweather
2026-06-28T00:50:00Z,22,15,230,8,,1014,aviationweather
2026-06-28T01:20:00Z,22,15,230,9,,1014,aviationweather
2026-06-28T01:50:00Z,22,14,230,10,,1014,aviationweather
2026-06-28T02:20:00Z,22,14,240,10,,1014,aviationweather
2026-06-28T02:50:00Z,21,14,240,10,,1014,aviationweather
2026-06-28T03:20:00Z,21,14,230,10,,1014,aviationweather
2026-06-28T03:50:00Z,20,14,240,12,,1014,aviationweather
2026-06-28T04:20:00Z,20,14,230,9,,1015,aviationweather
2026-06-28T04:50:00Z,20,15,240,11,,1015,aviationweather
2026-06-28T05:20:00Z,20,15,220,10,,1015,aviationweather
2026-06-28T05:50:00Z,21,16,230,11,21.0,1016,aviationweather
2026-06-28T06:20:00Z,21,15,220,10,,1016,aviationweather
2026-06-28T06:50:00Z,22,15,240,14,,1016,aviationweather
2026-06-28T07:20:00Z,21,15,240,12,,1016,aviationweather
2026-06-28T07:50:00Z,21,14,230,13,,1016,aviationweather
2026-06-28T08:20:00Z,23,14,230,10,,1017,aviationweather
2026-06-28T08:50:00Z,23,13,220,14,,1017,aviationweather
2026-06-28T09:20:00Z,23,14,220,12,,1017,aviationweather
2026-06-28T09:50:00Z,24,14,250,14,,1017,aviationweather
2026-06-28T10:20:00Z,23,14,230,14,,1017,aviationweather
2026-06-28T10:50:00Z,25,14,230,11,,1017,aviationweather
2026-06-28T11:20:00Z,24,13,220,12,22.0,1017,aviationweather
2026-06-28T11:50:00Z,23,15,270,12,,1018,aviationweather
2026-06-28T12:20:00Z,24,14,250,10,,1018,aviationweather
2026-06-28T12:50:00Z,26,12,220,13,,1017,aviationweather
2026-06-28T13:20:00Z,26,12,250,14,,1018,aviationweather
2026-06-28T13:50:00Z,25,13,240,12,,1018,aviationweather
2026-06-28T14:20:00Z,26,12,240,13,,1018,aviationweather
2026-06-28T14:50:00Z,25,12,240,12,,1018,aviationweather
2026-06-28T15:20:00Z,26,12,240,13,,1018,aviationweather
2026-06-28T15:50:00Z,25,11,240,10,,1018,aviationweather
2026-06-28T16:20:00Z,25,11,230,12,,1018,aviationweather
2026-06-28T16:50:00Z,25,11,240,12,,1018,aviationweather
